OS,SP,ARCH,FILE,MINVER,FIXVER,DIR,BULLETIN,KB
6.1,2,x86,Mrxsmb.sys,6.1.7600.16000,6.1.7600.16539,\system32\drivers,bulletin,kb
6,2,x86,Mrxsmb.sys,6.0.6002.22000,6.0.6002.22346,\System32\drivers,bulletin,kb
6,2,x86,Mrxsmb.sys,6.0.6002.18000,6.0.6002.18213,\System32\drivers,bulletin,kb
6,1,x86,Mrxsmb.sys,6.0.6001.22000,6.0.6001.22641,\System32\drivers,bulletin,kb
6,1,x86,Mrxsmb.sys,6.0.6001.18000,6.0.6001.18431,\System32\drivers,bulletin,kb
6,0,x86,Mrxsmb.sys,6.0.6000.20000,6.0.6000.21230,\system32\drivers,bulletin,kb
6,0,x86,Mrxsmb.sys,6.0.6000.16000,6.0.6000.17025,\system32\drivers,bulletin,kb
5.2,2,x86,Mrxsmb.sys,6.0.6000.16000,5.2.3790.4671,\system32\drivers,bulletin,kb
5.1,3,x86,Mrxsmb.sys,6.0.6000.16000,5.1.2600.5944,\system32\drivers,bulletin,kb
5.1,2,x86,Mrxsmb.sys,6.0.6000.16000,5.1.2600.3675,\system32\drivers,bulletin,kb
5,2,x86,Mrxsmb.sys,6.0.6000.16000,5.0.2195.7379,\system32\drivers,bulletin,kb
6.1,0,x86,ntoskrnl.exe,6.0.6000.16000,6.1.7600.16539,\system32,bulletin,kb
6.1,0,x86,ntoskrnl.exe,6.1.7600.20000,6.1.7600.20655,\system32,bulletin,kb
6,0,x86,ntoskrnl.exe,6.1.7600.20000,6.0.6000.17021,\system32,bulletin,kb
6,0,x86,ntoskrnl.exe,6.0.6000.20000,6.0.6000.21226,\system32,bulletin,kb
6,1,x86,ntoskrnl.exe,6.0.6000.20000,6.0.6001.18427,\system32,bulletin,kb
6,1,x86,ntoskrnl.exe,6.0.6001.22000,6.0.6001.22636,\system32,bulletin,kb
6,2,x86,ntoskrnl.exe,6.0.6001.22000,6.0.6002.18209,\system32,bulletin,kb
6,2,x86,ntoskrnl.exe,6.0.6002.22000,6.0.6002.22341,\system32,bulletin,kb
5.2,2,x86,ntoskrnl.exe,5.2.0.0,5.2.3790.4666,\system32,bulletin,kb
5.1,2,x86,ntoskrnl.exe,5.1.0.0,5.1.2600.3670,\system32,bulletin,kb
5.1,3,x86,ntoskrnl.exe,5.1.0.0,5.1.2600.5938,\system32,bulletin,kb
5,3,x86,ntoskrnl.exe,5.0.0.0,5.0.2195.7376,\system32,bulletin,kb
6.1,3,x86,Vbscript.dll,5.8.7600.20000,5.8.7600.20662,\system32,bulletin,981332
6.1,3,x86,Vbscript.dll,5.8.7600.16000,5.8.7600.16546,\system32,bulletin,981332
6,3,x86,Vbscript.dll,5.8.6001.22000,5.8.6001.23000,\System32,bulletin,981332
6,3,x86,Vbscript.dll,5.8.0.0,5.8.6001.18909,\System32,bulletin,981332
6,3,x86,Vbscript.dll,5.7.6002.22000,5.7.6002.22354,\System32,bulletin,981349
6,3,x86,Vbscript.dll,5.7.6002.0,5.7.6002.18222,\System32,bulletin,981349
6,3,x86,Vbscript.dll,5.7.0.22000,5.7.0.22648,\System32,bulletin,981349
6,3,x86,Vbscript.dll,5.7.0.18000,5.7.0.18440,\System32,bulletin,981349
6,3,x86,Vbscript.dll,5.7.0.20000,5.7.0.21238,\system32,bulletin,981349
6,3,x86,Vbscript.dll,5.7.0.0,5.7.0.17033,\system32,bulletin,981349
5.2,2,x86,Vbscript.dll,5.8.0.0,5.8.6001.23000,\system32,bulletin,981332
5.2,2,x86,Vbscript.dll,5.7.0.0,5.7.6002.22354,\system32,bulletin,981349
